1,2,state,id,Crime_rate,Crime_no
Importation of Girls,0.0,Andhra Pradesh,28,0.0,0.0
Importation of Girls,0.0,Arunanchal Pradesh,12,0.0,0.0
Importation of Girls,0.6194137610188627,Assam,18,0.0019872577101539704,0.6194137610188627
Importation of Girls,5.716070850644796,Bihar,10,0.005506566003062846,5.716070850644796
Importation of Girls,0.9610903154116175,Chhattisgarh,22,0.003763049881886644,0.9610903154116175
Importation of Girls,0.0,Goa,30,0.0,0.0
Importation of Girls,0.0,Gujarat,24,0.0,0.0
Importation of Girls,0.27430681373747523,Haryana,6,0.0010819466625672644,0.27430681373747523
Importation of Girls,0.0,Himachal Pradesh,2,0.0,0.0
Importation of Girls,0.0,Jammu & Kashmir,1,0.0,0.0
Importation of Girls,3.7607209606237313,Jharkhand,20,0.011407795334802021,3.7607209606237313
Importation of Girls,4.3790577010150533e-47,Karnataka,29,7.1634341083574855e-50,4.3790577010150533e-47
Importation of Girls,0.0,Kerala,32,0.0,0.0
Importation of Girls,-0.007348837805036215,Madhya Pradesh,23,1.0122705637628775e-05,-0.007348837805036215
Importation of Girls,0.26942071194080874,Maharashtra,27,0.00023975579460584946,0.26942071194080874
Importation of Girls,0.0,Manipur,14,0.0,0.0
Importation of Girls,0.0,Meghalaya,17,0.0,0.0
Importation of Girls,-1.7290327071306454e-223,Mizoram,15,1.5847942438233107e-224,-1.7290327071306454e-223
Importation of Girls,0.0,Nagaland,13,0.0,0.0
Importation of Girls,0.0,Odisha,21,0.0,0.0
Importation of Girls,0.0,Punjab,3,0.0,0.0
Importation of Girls,0.36250828859031514,Rajasthan,8,0.0005282759289389599,0.36250828859031514
Importation of Girls,0.0,Sikkim,11,0.0,0.0
Importation of Girls,0.0,Tamil Nadu,33,0.0,0.0
Importation of Girls,0.0,Tripura,16,0.0,0.0
Importation of Girls,0.0,Uttar Pradesh,9,0.0,0.0
Importation of Girls,1.9999995643620976,Uttarakhand,5,0.019769186438118654,1.9999995643620976
Importation of Girls,10.475221714008402,West Bengal,19,0.011467412519132825,10.475221714008402
Importation of Girls,0.0,Andaman & Nicobar Island,35,0.0,0.0
Importation of Girls,0.0,Chandigarh,4,0.0,0.0
Importation of Girls,0.0,Arunanchal Pradesh,12,0.0,0.0
Importation of Girls,0.0,Lakshadweep,31,0.0,0.0
Importation of Girls,0.0,Puducherry,34,0.0,0.0
Importation of Girls,0.0,Telangana,0,0.0,0.0
