1,2,state,id,Crime_rate,Crime_no
Insult to modesty of Women,4557.047181062279,Andhra Pradesh,28,5.382411259446367,4557.047181062279
Insult to modesty of Women,1.9614321586982268,Arunanchal Pradesh,12,0.141864,1.9614321586982268
Insult to modesty of Women,-57.672071246907564,Assam,18,0.18502861166249748,-57.672071246907564
Insult to modesty of Women,98.7047070509119,Bihar,10,0.095086992164822,98.7047070509119
Insult to modesty of Women,95.2593440583118,Chhattisgarh,22,0.37297812459353014,95.2593440583118
Insult to modesty of Women,35.585687364275415,Goa,30,2.4411830892615,35.585687364275415
Insult to modesty of Women,134.28989144823493,Gujarat,24,0.2223945395401464,134.28989144823493
Insult to modesty of Women,558.0942234694243,Haryana,6,2.201287581061348,558.0942234694243
Insult to modesty of Women,61.16189119341777,Himachal Pradesh,2,0.8920267032890611,61.16189119341777
Insult to modesty of Women,161.37511562714405,Jammu & Kashmir,1,1.2859675451679613,161.37511562714405
Insult to modesty of Women,10.430960752847184,Jharkhand,20,0.03164134394967113,10.430960752847184
Insult to modesty of Women,165.75129203910757,Karnataka,29,0.2711424557438559,165.75129203910757
Insult to modesty of Women,318.8961175315273,Kerala,32,0.9551311926598764,318.8961175315273
Insult to modesty of Women,246.5297465402723,Madhya Pradesh,23,0.33958404326684,246.5297465402723
Insult to modesty of Women,2039.4752533359542,Maharashtra,27,1.8149161822790933,2039.4752533359542
Insult to modesty of Women,0.10817973493614219,Manipur,14,0.003974630162885365,0.10817973493614219
Insult to modesty of Women,79.32715637018703,Meghalaya,17,2.6763484826515938,79.32715637018703
Insult to modesty of Women,15.412815687555993,Mizoram,15,1.412705582839083,15.412815687555993
Insult to modesty of Women,1.6146449070514857,Nagaland,13,0.08152293631186304,1.6146449070514857
Insult to modesty of Women,482.1781567169902,Odisha,21,1.1487483976878146,482.1781567169902
Insult to modesty of Women,56.09195717874066,Punjab,3,0.202467078242983,56.09195717874066
Insult to modesty of Women,8.40616837162512,Rajasthan,8,0.01225013756956123,8.40616837162512
Insult to modesty of Women,1.2073282544510238,Sikkim,11,0.19867567805370911,1.2073282544510238
Insult to modesty of Women,-18.948568145568252,Tamil Nadu,33,0.02626676163740576,-18.948568145568252
Insult to modesty of Women,5.1944760140257875,Tripura,16,0.1414990665847039,5.1944760140257875
Insult to modesty of Women,22.817848426366233,Uttar Pradesh,9,0.011432848763999392,22.817848426366233
Insult to modesty of Women,54.38885340649472,Uttarakhand,5,0.5376118086762898,54.38885340649472
Insult to modesty of Women,428.9619465000664,West Bengal,19,0.46959231315822253,428.9619465000664
Insult to modesty of Women,5.0,Andaman & Nicobar Island,35,1.3159834080811907,5.0
Insult to modesty of Women,9.550181972614865,Chandigarh,4,0.9055000230035162,9.550181972614865
Insult to modesty of Women,1497.4465890082415,Arunanchal Pradesh,12,0.141864,1497.4465890082415
Insult to modesty of Women,1.3585883431351493,Lakshadweep,31,2.108659676752936,1.3585883431351493
Insult to modesty of Women,12.000743430463283,Puducherry,34,0.964330300471792,12.000743430463283
Insult to modesty of Women,4557.047181062279,Telangana,0,5.382411259446367,4557.047181062279
