1,2,state,id,Crime_rate,Crime_no
Rape,2314.78090009541,Andhra Pradesh,28,2.734029797102216,2314.78090009541
Rape,70.59255185898552,Arunanchal Pradesh,12,5.105742,70.59255185898552
Rape,1595.9117377195005,Assam,18,5.120144409274302,1595.9117377195005
Rape,1058.0431532919877,Bihar,10,1.019263863224133,1058.0431532919877
Rape,1576.8269214748943,Chhattisgarh,22,6.1739029781717205,1576.8269214748943
Rape,78.99527148808102,Goa,30,5.419086581475425,78.99527148808102
Rape,222.48034579608776,Gujarat,24,0.3684448138758535,222.48034579608776
Rape,1010.1095249979319,Haryana,6,3.984168728833912,1010.1095249979319
Rape,241.58761847224793,Himachal Pradesh,2,3.5234784709281057,241.58761847224793
Rape,306.5636512603492,Jammu & Kashmir,1,2.4429473188410644,306.5636512603492
Rape,1095.0197447453597,Jharkhand,20,3.3216399904209863,1095.0197447453597
Rape,517.9668825652602,Karnataka,29,0.8473105144760974,517.9668825652602
Rape,1563.5354036185086,Kerala,32,4.682971515563986,1563.5354036185086
Rape,3941.7555542402033,Madhya Pradesh,23,5.429597472367293,3941.7555542402033
Rape,4640.423347059223,Maharashtra,27,4.1294835087739985,4640.423347059223
Rape,27.185531940283273,Manipur,14,0.9988232574956489,27.185531940283273
Rape,133.71953915610843,Meghalaya,17,4.511444782556466,133.71953915610843
Rape,95.48348790741346,Mizoram,15,8.751811425647468,95.48348790741346
Rape,34.10970554731153,Nagaland,13,1.722188786404918,34.10970554731153
Rape,2338.715197504738,Odisha,21,5.571789800836166,2338.715197504738
Rape,819.4731925125424,Punjab,3,2.957934636827893,819.4731925125424
Rape,3468.1507262719874,Rajasthan,8,5.054065256676755,3468.1507262719874
Rape,11.151534579297909,Sikkim,11,1.835075660420793,11.151534579297909
Rape,660.7929262690739,Tamil Nadu,33,0.9160000984060152,660.7929262690739
Rape,253.92839405559934,Tripura,16,6.9170847340911035,253.92839405559934
Rape,3030.2317077800176,Uttar Pradesh,9,1.518293056714886,3030.2317077800176
Rape,279.8804479544045,Uttarakhand,5,2.7665049805946067,279.8804479544045
Rape,2596.3694708955163,West Bengal,19,2.8422920858109895,2596.3694708955163
Rape,36.0,Andaman & Nicobar Island,35,9.475080538184574,36.0
Rape,70.99313534157017,Chandigarh,4,6.731210553811292,70.99313534157017
Rape,2221.5561810793724,Arunanchal Pradesh,12,5.105742,2221.5561810793724
Rape,0.24952814830384762,Lakshadweep,31,0.3872916672676088,0.24952814830384762
Rape,2.2266414387513036,Puducherry,34,0.17892373252671862,2.2266414387513036
Rape,2314.78090009541,Telangana,0,2.734029797102216,2314.78090009541
